,SUMMONS,PRECINCT,VIOLATION,DESCRIPTION,TIME,ts_month,ts,dstring,ohe_codes,ohe_pct,features,normFeatures,Quantile,pcaFeatures
631,1457670537,79,70,REG. STICKER-EXPIRED/MISSING,0740P,6,06192021,8.0,"(99,[70],[1.0])","(123,[79],[1.0])","(224,[0,1,81,195],[1457670537.0,8.0,1.0,1.0])","(224,[0,1,81,195],[0.9999999931397393,5.488208578038862e-09,6.860260722548578e-10,6.860260722548578e-10])",21.0,"[-1457670536.9999633,-319.6085349628269,-33.363284919925476,31.197346655633147]"
632,1457800779,44,70,REG. STICKER-EXPIRED/MISSING,1049A,6,06232021,8.0,"(99,[70],[1.0])","(123,[44],[1.0])","(224,[0,1,46,195],[1457800779.0,8.0,1.0,1.0])","(224,[0,1,46,195],[0.9999999931403522,5.487718253663258e-09,6.859647817079073e-10,6.859647817079073e-10])",11.0,"[-1457800778.9999633,-319.6357618547443,-33.38646314135876,31.254084560316336]"
633,1459587637,109,70,REG. STICKER-EXPIRED/MISSING,1005A,7,07152021,8.0,"(99,[70],[1.0])","(123,[109],[1.0])","(224,[0,1,111,195],[1459587637.0,8.0,1.0,1.0])","(224,[0,1,111,195],[0.9999999931487499,5.481000073166555e-09,6.851250091458194e-10,6.851250091458194e-10])",28.0,"[-1459587636.9999633,-320.01720672287007,-33.382005187760065,31.100796356772776]"
634,1459588174,109,70,REG. STICKER-EXPIRED/MISSING,0310A,7,07132021,8.0,"(99,[70],[1.0])","(123,[109],[1.0])","(224,[0,1,111,195],[1459588174.0,8.0,1.0,1.0])","(224,[0,1,111,195],[0.9999999931487524,5.480998056640886e-09,6.851247570801108e-10,6.851247570801108e-10])",28.0,"[-1459588173.9999633,-320.01732151938063,-33.3820175176391,31.100807881185485]"
635,1459589130,109,70,REG. STICKER-EXPIRED/MISSING,0620P,7,07202021,8.0,"(99,[70],[1.0])","(123,[109],[1.0])","(224,[0,1,111,195],[1459589130.0,8.0,1.0,1.0])","(224,[0,1,111,195],[0.9999999931487569,5.4809944667031434e-09,6.851243083378929e-10,6.851243083378929e-10])",28.0,"[-1459589129.9999633,-320.01752588709786,-33.38203946803827,31.100828397644612]"
636,1472319035,110,70,REG. STICKER-EXPIRED/MISSING,1136A,7,07192021,8.0,"(99,[70],[1.0])","(123,[110],[1.0])","(224,[0,1,112,195],[1472319035.0,8.0,1.0,1.0])","(224,[0,1,112,195],[0.9999999932079938,5.433604915434616e-09,6.79200614429327e-10,6.79200614429327e-10])",29.0,"[-1472319034.999963,-322.7358598581487,-33.35817545412626,31.24652988566401]"
637,1462685195,45,70,REG. STICKER-EXPIRED/MISSING,0336P,11,11252020,8.0,"(99,[70],[1.0])","(123,[45],[1.0])","(224,[0,1,47,195],[1462685195.0,8.0,1.0,1.0])","(224,[0,1,47,195],[0.9999999931632589,5.469392848613656e-09,6.83674106076707e-10,6.83674106076707e-10])",12.0,"[-1462685194.9999633,-320.6809697601883,-33.4751410516259,31.321414427493274]"
638,1463580319,121,70,REG. STICKER-EXPIRED/MISSING,0100A,6,06232021,8.0,"(99,[70],[1.0])","(123,[121],[1.0])","(224,[0,1,123,195],[1463580319.0,8.0,1.0,1.0])","(224,[0,1,123,195],[0.9999999931674403,5.466047774409518e-09,6.832559718011897e-10,6.832559718011897e-10])",35.0,"[-1463580318.9999633,-320.87168830218485,-33.492475324799216,31.3165544477643]"
639,1463581981,121,70,REG. STICKER-EXPIRED/MISSING,0626A,7,07182021,8.0,"(99,[70],[1.0])","(123,[121],[1.0])","(224,[0,1,123,195],[1463581981.0,8.0,1.0,1.0])","(224,[0,1,123,195],[0.999999993167448,5.466041567328905e-09,6.832551959161132e-10,6.832551959161132e-10])",35.0,"[-1463581980.9999633,-320.87204359417854,-33.492513485430415,31.31659011549972]"
640,1463583308,121,70,REG. STICKER-EXPIRED/MISSING,0800P,7,07132021,8.0,"(99,[70],[1.0])","(123,[121],[1.0])","(224,[0,1,123,195],[1463583308.0,8.0,1.0,1.0])","(224,[0,1,123,195],[0.9999999931674542,5.466036611384771e-09,6.832545764230964e-10,6.832545764230964e-10])",35.0,"[-1463583307.9999633,-320.8723272719617,-33.49254395423763,31.316618593890162]"
641,1472453293,111,70,REG. STICKER-EXPIRED/MISSING,0236P,7,07062021,8.0,"(99,[70],[1.0])","(123,[111],[1.0])","(224,[0,1,113,195],[1472453293.0,8.0,1.0,1.0])","(224,[0,1,113,195],[0.9999999932086131,5.433109480416575e-09,6.791386850520719e-10,6.791386850520719e-10])",30.0,"[-1472453292.999963,-322.77334121724596,-33.77990359523518,31.547873149218482]"
642,1472453360,111,70,REG. STICKER-EXPIRED/MISSING,1142P,6,06292021,8.0,"(99,[70],[1.0])","(123,[111],[1.0])","(224,[0,1,113,195],[1472453360.0,8.0,1.0,1.0])","(224,[0,1,113,195],[0.9999999932086134,5.433109233197653e-09,6.791386541497066e-10,6.791386541497066e-10])",30.0,"[-1472453359.999963,-322.77335554008806,-33.77990513359998,31.547874587087477]"
643,1472482750,111,70,REG. STICKER-EXPIRED/MISSING,0720P,7,07072021,8.0,"(99,[70],[1.0])","(123,[111],[1.0])","(224,[0,1,113,195],[1472482750.0,8.0,1.0,1.0])","(224,[0,1,113,195],[0.999999993208749,5.43300079112641e-09,6.791250988908013e-10,6.791250988908013e-10])",30.0,"[-1472482749.999963,-322.779638350975,-33.7805799476499,31.548505317980442]"
644,1465444269,113,70,REG. STICKER-EXPIRED/MISSING,0907A,7,07132021,8.0,"(99,[70],[1.0])","(123,[113],[1.0])","(224,[0,1,115,195],[1465444269.0,8.0,1.0,1.0])","(224,[0,1,115,195],[0.9999999931761309,5.459095316444987e-09,6.823869145556233e-10,6.823869145556233e-10])",32.0,"[-1465444268.9999633,-321.27039150741905,-33.549202098542466,31.433431275447784]"
645,1465449887,115,70,REG. STICKER-EXPIRED/MISSING,0250P,7,07062021,8.0,"(99,[70],[1.0])","(123,[115],[1.0])","(224,[0,1,117,195],[1465449887.0,8.0,1.0,1.0])","(224,[0,1,117,195],[0.9999999931761571,5.4590743882661725e-09,6.823842985332716e-10,6.823842985332716e-10])",34.0,"[-1465449886.9999633,-321.2691717535061,-33.567847346861875,31.361525292320916]"
646,1465451547,115,70,REG. STICKER-EXPIRED/MISSING,0314P,7,07132021,8.0,"(99,[70],[1.0])","(123,[115],[1.0])","(224,[0,1,117,195],[1465451547.0,8.0,1.0,1.0])","(224,[0,1,117,195],[0.9999999931761647,5.459068204463343e-09,6.823835255579179e-10,6.823835255579179e-10])",34.0,"[-1465451546.9999633,-321.26952661795224,-33.56788546157174,31.361560917134877]"
647,1465581650,73,70,REG. STICKER-EXPIRED/MISSING,0334P,6,06232021,8.0,"(99,[70],[1.0])","(123,[73],[1.0])","(224,[0,1,75,195],[1465581650.0,8.0,1.0,1.0])","(224,[0,1,75,195],[0.9999999931767705,5.458583590627082e-09,6.823229488283853e-10,6.823229488283853e-10])",20.0,"[-1465581649.9999633,-321.2973817458866,-33.548670111315154,31.32812958366608]"
648,1472590508,67,70,REG. STICKER-EXPIRED/MISSING,0750A,6,06212021,8.0,"(99,[70],[1.0])","(123,[67],[1.0])","(224,[0,1,69,195],[1472590508.0,8.0,1.0,1.0])","(224,[0,1,69,195],[0.9999999932092459,5.432603226907373e-09,6.790754033634216e-10,6.790754033634216e-10])",16.0,"[-1472590507.999963,-322.797059416329,-33.703027656067505,31.52410419327346]"
649,1462685183,45,71,INSP. STICKER-EXPIRED/MISSING,0336P,11,11252020,26.0,"(99,[71],[1.0])","(123,[45],[1.0])","(224,[0,1,47,196],[1462685183.0,26.0,1.0,1.0])","(224,[0,1,47,196],[0.9999999808571252,1.777552668507838e-08,6.836741032722454e-10,6.836741032722454e-10])",12.0,"[-1462685182.9999595,-338.67187110243634,-33.21617135906996,31.13298900449141]"
650,1462695073,34,71,INSP. STICKER-EXPIRED/MISSING,0545A,12,12092020,26.0,"(99,[71],[1.0])","(123,[34],[1.0])","(224,[0,1,36,196],[1462695073.0,26.0,1.0,1.0])","(224,[0,1,36,196],[0.9999999808572545,1.7775406496011776e-08,6.836694806158376e-10,6.836694806158376e-10])",9.0,"[-1462695072.9999595,-338.67384271242247,-33.2208589860078,31.14405016474269]"
651,1465440045,115,71,INSP. STICKER-EXPIRED/MISSING,0347P,7,07152021,26.0,"(99,[71],[1.0])","(123,[115],[1.0])","(224,[0,1,117,196],[1465440045.0,26.0,1.0,1.0])","(224,[0,1,117,196],[0.9999999808931116,1.7742110700421662e-08,6.823888730931408e-10,6.823888730931408e-10])",34.0,"[-1465440044.9999595,-339.25797169966637,-33.30865195093368,31.172888910330354]"
652,1457677623,41,74,FRONT OR BACK PLATE MISSING,0600A,7,07032021,13.0,"(99,[74],[1.0])","(123,[41],[1.0])","(224,[0,1,43,199],[1457677623.0,13.0,1.0,1.0])","(224,[0,1,43,199],[0.999999989709659,8.918295555275576e-09,6.860227350211981e-10,6.860227350211981e-10])",10.0,"[-1457677622.999962,-324.60843861045333,-33.28824667435211,31.143511050647803]"
